morada_ID,MORADA,FREG_2012
567,Rua Ten. Coronel Ribeiro dos Reis,São Domingos de Benfica
568,Rua André de Resende,Benfica
569,Estrada de Benfica,Benfica
570,Estrada de Telheiras,Lumiar
571,Rua da República Peruana,Benfica
572,Rua Actor Epifânio,Lumiar
573,Rua Coronel Santos Pedroso,Benfica
574,Avenida Sérgio Vieira de Mello,Santa Clara
575,Rua Vitorino Nemésio,Santa Clara
576,Rua Tomás del Negro,Lumiar
577,Rua Daciano Costa,Lumiar
578,Rua Raul Carapinha,São Domingos de Benfica
579,Rua Jau,Alcântara
580,Rua Alberto Villaverde Cabral,Belém
581,Avenida da Ilha da Madeira,Belém
582,Rua Luís de Camões,Alcântara
583,Rua João de Barros,Alcântara
584,Rua 15,Ajuda
585,Rua Fonseca Benevides,Ajuda
586,Alameda dos Pinheiros,Ajuda
587,Rua Pedro de Sintra,Belém
588,Rua Luís Castanho de Almeida,Belém
589,Rua Aquilino Ribeiro,Marvila
590,Rua de São Filipe Néri,Santo António
591,Rua Dom Luís I,Misericórdia
592,Rua do Borja,Estrela
593,Rua 51,Penha de França
594,Rua António Saúde,São Domingos de Benfica
595,Rua 18,Benfica
596,Rua Aristides de Sousa Mendes,Carnide
597,Rua 18A,Lumiar
598,Azinhaga da Torre do Fato,Carnide
599,Alameda da Quinta de Santo António,Lumiar
600,Avenida Maria Helena Vieira da Silva,Lumiar
601,Rua Armando de Lucena,Ajuda
602,Campo Grande,Lumiar
603,Avenida de Roma,Alvalade
604,Pátio do Daniel,São Vicente
605,Praça Aniceto do Rosário,Penha de França
606,Rua 14,Penha de França
607,Rua da República da Bolívia,Benfica
608,Rua Luís Pastor de Macedo,Lumiar
609,Avenida  Cidade de Praga,Carnide
610,Avenida de Brasília,Alcântara
611,Calçada da Ajuda,Belém
612,Não identificada,Beato
613,Vila Dias,Beato
614,Rua José da Bateira,Beato
615,Rua Faustino José Rodrigues,Beato
616,Rua Marquês de Olhão,Beato
617,Rua Dr. Manuel Espírito Santo,Beato
618,Rua D. Tomás de Melo Breyner,Beato
619,Avenida de Brasília,Belém
620,Largo da Escola Municipal,Arroios
621,Rua Padre Luís Aparício,Santo António
622,Avenida dos Defensores de Chaves,Avenidas Novas
623,Rua António Enes,Avenidas Novas
624,Calçada do Livramento,Estrela
625,Rua das Francesinhas,Estrela
626,Rua do Terreiro do Trigo,Santa Maria Maior
627,Rua Actriz Maria Matos,Benfica
628,Calçada do Tojal,Benfica
629,Rua Dr. João Couto,Benfica
630,Rua de Nossa Senhora do Amparo,Benfica
631,Alameda das Linhas de Torres,Lumiar
632,Rua Abranches Ferrão,São Domingos de Benfica
633,Rua Dr. João de Barros,Benfica
634,Rua Ginestal Machado,São Domingos de Benfica
635,Rua Maria Lalande,Benfica
636,Estrada das Garridas,Benfica
637,Rua Pedro Calmon,Alcântara
638,Calçada do Galvão,Belém
639,Largo do Paço,Lumiar
640,Largo de São João da Mata,Lumiar
641,Rua Filinto Elísio,Alcântara
642,Praça Dr. Alfredo da Cunha,Belém
643,Rua da Junqueira,Alcântara
644,Rua das Fontaínhas,Alcântara
645,Rua 18,Ajuda
646,Avenida de Ceuta,
647,Avenida Infante Dom Henrique,Marvila
648,Rua Nova do Desterro,Arroios
649,Travessa da Conceição da Glória,Santo António
650,Rua Virgílio Correia,
651,Rua Tomás da Fonseca,
652,Alameda Edgar Cardoso,Avenidas Novas
653,Praça do Marquês de Pombal,Avenidas Novas
654,Praça Cosme Damião,Carnide
655,Parque Eduardo VII de Inglaterra,Avenidas Novas
656,Calçada do Monte,São Vicente
657,Rua Galileu Galilei,Carnide
