"especie_ID","ESPECIE_VA","NOME_VULGAR"
269,"Prunus lusitanica","azereiro"
270,"Prunus lusitanica subesp lusitanica","Loureiro-de-Portugal"
271,"Prunus persica","pessegueiro"
272,"Prunus serrulata","cerejeira-do-Japão"
273,"Prunus serrulata var. Kanzan","cerejeira-do-Japão"
274,"Prunus sp.","NULL"
275,"Prunus spinosa","abrunheiro"
276,"Psidium guajava","Goiabeira"
277,"Punica granatum","romanzeira"
278,"Punica granatum 'Nana'","romanzeira-anã"
279,"Pyracantha coccinea","piracanta"
280,"Pyracantha sp.","(empty)"
281,"Pyrus calleryana","pereira-brava"
282,"Pyrus calleryana var. Chanticleer","pereira-brava"
283,"Pyrus communis","pereira"
284,"Pyrus communis ssp.piraster","catapereiro"
285,"Pyrus sp.","pereira"
286,"Quercus canariensis","carvalho-das-canárias"
287,"Quercus cerris","carvalho-da-Turquia"
288,"Quercus coccifera","carrasco"
289,"Quercus faginea","carvalho-cerquinho"
290,"Quercus faginea subesp. broteroi","carvalho-cerquinho"
291,"Quercus frainetto","carvalho-da-Hungria"
292,"Quercus ilex","azinheira"
293,"Quercus palustris","carvalho-dos-pântanos"
294,"Quercus petraea","carvalho-alvo"
295,"Quercus pubescens","carvalho-branco"
296,"Quercus pyrenaica","carvalho negral"
297,"Quercus robur","carvalho-roble;carvalho-alvarinho"
298,"Quercus robur f. fastigiata","carvalho-alvarinho"
299,"Quercus rotundifolia","azinheira"
300,"Quercus rubra","carvalho-americano"
301,"Quercus sp.","carvalho"
302,"Quercus suber","sobreiro"
303,"Quercus x turneri","carvalho-cinzento"
304,"Rhamnus alaternus","sanguinho-das-sebes"
305,"Robinia pseudoacacia","falsa-acácia"
306,"Robinia pseudoacacia var. bessoniana","robinia"
307,"Robinia pseudoacacia var. Casque Rouge","robinia"
308,"Robinia pseudoacacia var. Frisia","robinia"
309,"Robinia pseudoacacia var. Pyramidalis","robinia-piramidal"
310,"Robinia pseudoacacia var. umbraculifera","robinia"
311,"Robinia pseudoacacia var. unifoliola","robinia"
312,"Robinia sp.","robinia"
313,"Robinia viscosa","robinia viscosa"
314,"Rosa sp.","roseira"
315,"Salix alba","salgueiro-branco"
316,"Salix atrocinerea","borrazeira-preta"
317,"Salix babylonica","salgueiro-chorão"
318,"Salix matsudana","Salgueiro"
319,"Salix sp.","Salgueiro"
320,"Sambucus nigra","sabugueiro-negro"
321,"Sambucus sp.","(empty)"
322,"Schefflera arboricola variegata","cheflera-pequena"
323,"Schefflera sp.","Cheflera"
324,"Schinnus terebinthifolius","Aroeira"
325,"Schinus molle","pimenteiro-bastardo"
326,"Schinus terebinthifolia","aroeira-vermelha;aroeira-pimenteira"
327,"Sequoia sempervirens","sequoia-gigante"
328,"Solanum laciniatum","Maçã-canguru"
329,"Sophora japonica","sófora-do-japão"
330,"Sorbus torminalis","mostajeiro"
331,"Spiraea cantoniensis","grinalda-de-noiva;sempre-noiva"
332,"Strelitzia nicolai","estrelícia-ave-do-paraíso"
333,"Styphnolobium japonicum","acácia-do-Japão"
334,"Styphnolobium japonicum var. pendula","Sófora-pendula"
335,"Styphnolobium japonicum var. Pyramidalis","acácia-do-Japão-piramidal"
336,"Tamarix africana","tamargueira"
337,"Tamarix gallica","tamargueira"
338,"Tamarix sp.","tamargueira"
339,"Taxodium distichum","taxódio-de-folha-caduca"
340,"Taxus baccata","teixo"
341,"Tecoma capensis","jasmineiro-do-cabo"
342,"Thuja occidentalis","tuia-vulgar"
343,"Thuja plicata","tuia-gigante"
344,"Thuja plicata atrovitens","Tuia"
345,"Thuja sp.","Tuia"
346,"Tilia americana","tília-americana"
347,"Tilia argentea","tília-argêntea;tília-prateada"
348,"Tilia cordata","tília-das-folhas-pequenas"
349,"Tilia europaea","tília-europeia"
350,"Tilia platyphyllos","tília-das-folhas-grandes;tília-da-Holanda"
351,"Tilia sp.","tília"
352,"Tilia tomentosa","tília-prateada"
353,"Tilia x europea","tília-europeia"
354,"Tipuana sp.","tipuana"
355,"Tipuana tipu","tipuana"
356,"Trachycarpus fortunei","palmeira-moinho-de-vento-chinesa;palmeira-da-China"
357,"Ulmus glabra","ulmeiro-da-montanha"
358,"Ulmus minor","negrilho;ulmeiro-das-folhas-lisas;ulmeiro-negrilho"
359,"Ulmus procera","ulmeiro"
360,"Ulmus pumila","ulmeiro-da-Sibéria"
361,"Ulmus sp.","ulmeiro"
362,"Ulmus x resista var. Sapporo Gold","ulmeiro"
363,"Viburnum tinus","folhado"
364,"Washingtonia filifera","washingtónia-da-Califórnia;washingtónia-de-folhas-filamentosa"
365,"Washingtonia robusta","palmeira-imperial-de-cuba;washingtónia-mexicana"
366,"Washingtonia sp.","washingtónia"
367,"Wisteria floribunda macrobrotys","Glicinia-lilás"
368,"Wisteria sinensis","Glicinia"
369,"Wisteria sp.","Glicinia"
370,"x Cupressocyparis leylandii","cipreste-de-leyland"
371,"Yucca elephantipes","Iúca"
372,"Yucca gigantea","iuca-gigante"
373,"Yucca gloriosa","iúca;palmeira-lily"
374,"Yucca sp.","iúca;palmeira-lily"
375,"Zelkova serrata","zelcova-japonesa"
